,bank_name,url,swift_code
0,SWIFT Code Databse,http://www.swiftcodelist.com/,Taiwan
1,Countries List,http://www.swiftcodelist.com/countries.html,Taiwan
2,,http://www.swiftcodelist.com/country/united-kingdom.html,
3,Home,http://www.swiftcodelist.com/country/united-kingdom.html,TGCLGB21
4,United Kingdom Banks,http://www.swiftcodelist.com/banks/united-kingdom.html,3I INVESTMENTS PLC
5,Contact Us,http://www.swiftcodelist.com/one/contact.html,Contact Us
6,2CG LIMITED,http://www.swiftcodelist.com/bank/united-kingdom/2cg_limited.html,TGCLGB21
7,3I INVESTMENTS PLC,http://www.swiftcodelist.com/bank/united-kingdom/3i_investments_plc.html,IIIGGB22
8,4 SHIRES ASSET MANAGEMENT LTD,http://www.swiftcodelist.com/bank/united-kingdom/4_shires_asset_management_ltd.html,SHEMGB21
9,A G EDWARDS AND SONS (UK) LTD,http://www.swiftcodelist.com/bank/united-kingdom/a_g_edwards_and_sons_uk_ltd.html,EDSOGB21
10,A.M. BEST EUROPERATING SERVICES LIMITED,http://www.swiftcodelist.com/bank/united-kingdom/a_m_best_europerating_services_limited.html,BEECGB21
11,AAC CAPITAL PARTNERS LIMITED,http://www.swiftcodelist.com/bank/united-kingdom/aac_capital_partners_limited.html,AAPEGB21
12,ABACUS,http://www.swiftcodelist.com/bank/united-kingdom/abacus.html,ABUSGB21
13,ABBEY LIFE,http://www.swiftcodelist.com/bank/united-kingdom/abbey_life.html,ABBEGB21
14,ABBEY NATIONAL PEP AND ISA MANAGERS LIMITED,http://www.swiftcodelist.com/bank/united-kingdom/abbey_national_pep_and_isa_managers_limited.html,ANPIGB21
15,ABBEY NATIONAL TREASURY SERVICES PLC,http://www.swiftcodelist.com/bank/united-kingdom/abbey_national_treasury_services_plc.html,ANTSGB2LTSY
16,ABBEY STOCKBROKERS LIMITED,http://www.swiftcodelist.com/bank/united-kingdom/abbey_stockbrokers_limited.html,CIDEGB21ABB
17,ABBOT INVESTMENT MANAGEMENT LIMITED,http://www.swiftcodelist.com/bank/united-kingdom/abbot_investment_management_limited.html,ABOTGB21
18,ABBOTSTONE AGRICULTURAL PROPERTY UNIT TRUST,http://www.swiftcodelist.com/bank/united-kingdom/abbotstone_agricultural_property_unit_trust.html,AAPUGB21
