ID,Borrower Lat,Borrower Lng,Lender Lat,Lender Lng
1,51.37,-0.025,51.524,-0.318
2,51.397,-0.116,51.421,-0.177
3,51.515,0.0193,51.493,0.0602
4,51.531,-0.225,51.521,-0.087
5,51.516,-0.13,51.509,-0.145
6,51.423,-0.047,51.43,-0.093
7,51.374,-0.048,51.487,-0.092
8,51.397,-0.116,51.421,-0.177
9,51.397,-0.116,51.533,-0.139
10,51.52,0.0155,51.498,-0.021
11,51.493,-0.047,51.545,-0.057
12,51.524,-0.072,51.487,-0.097
13,51.57,0.014,51.6,-0.009
14,51.567,-0.065,51.518,-0.135
15,51.581,0.1744,51.591,0.0301
16,51.515,-0.065,52.217,-1.505
17,51.237,-0.169,52.039,-0.769
18,51.567,-0.105,51.509,-0.145
19,34.004,36.204,51.48,-0.123
20,51.52,0.0155,51.498,-0.021
21,51.4,-0.293,51.463,-0.027
22,51.504,-0.097,51.52,-0.096
23,51.557,-0.319,51.509,-0.145
24,51.503,-0.112,51.609,-0.176
25,51.488,-0.245,51.488,-0.222
26,51.554,-0.233,51.54,-0.053
27,52.629,1.2922,51.558,-0.059
28,51.505,-0.089,51.543,-0.122
29,52.348,4.9154,51.461,-0.115
30,51.507,0.2816,51.517,-0.071
31,51.237,-0.169,51.509,-0.145
32,51.6,-0.287,51.509,-0.145
33,51.512,-0.066,51.525,-0.082
34,51.512,-0.066,51.525,-0.082
35,51.559,-0.051,51.498,-0.021
36,51.559,-0.051,51.498,-0.021
37,51.503,-0.239,51.507,-0.308
38,34.004,36.204,51.48,-0.123
39,51.542,-0.146,51.526,-0.098
40,51.51,-0.082,51.534,-0.113
41,53.482,-2.231,51.519,-0.32
42,51.563,-0.068,51.546,-0.029
43,53.441,-2.222,51.61,-0.158
44,51.487,-0.013,51.522,-0.112
45,51.545,-0.075,51.541,-0.088
46,53.441,-2.222,51.521,-0.087
47,51.503,-0.112,51.534,-0.064
48,51.53,-0.146,51.476,-0.026
49,51.532,-0.096,51.529,-0.06
50,51.491,-0.371,51.545,-0.075
51,51.491,-0.371,51.545,-0.075
52,51.503,-0.112,51.534,-0.064
53,51.503,-0.112,51.534,-0.064
54,51.493,0.3072,51.509,-0.145
55,51.493,0.3072,51.509,-0.145
56,51.493,0.3072,51.509,-0.145
57,51.493,0.3072,51.509,-0.145
58,51.456,0.0093,51.571,-0.089
59,51.524,-0.081,51.518,-0.135
60,51.524,-0.081,51.518,-0.135
61,51.645,-0.13,51.567,-0.129
62,51.5,-0.02,51.506,-0.063
63,51.551,-0.109,51.534,-0.113
64,51.532,-0.029,51.504,-0.058
65,51.601,-0.35,51.517,-0.119
66,51.583,-0.313,51.557,-0.038
67,52.153,-0.41,51.378,-0.28
68,51.534,-0.064,51.553,-0.073
69,51.544,-0.077,51.519,-0.125
70,51.544,-0.077,51.525,-0.082
71,18.662,-68.42,51.502,-0.102
72,51.814,-0.36,51.524,-0.318
73,51.535,-0.056,51.535,-0.054
74,51.535,-0.056,51.535,-0.054
75,51.499,-0.088,51.509,-0.145
76,52.052,1.1636,51.519,-0.042
77,51.737,0.464,51.527,-0.035
78,52.052,1.1636,51.519,-0.042
79,50.729,-1.846,51.523,-0.045
80,51.536,-0.198,51.521,-0.087
81,51.579,-0.03,51.435,-0.132
82,51.611,0.2138,51.587,-0.039
83,51.503,-0.112,51.534,-0.064
84,51.471,0.0657,51.461,0.0078
85,51.536,-0.198,51.509,-0.145
86,51.579,-0.03,51.513,-0.096
87,51.515,-0.037,51.513,-0.115
88,51.442,-0.042,51.424,-0.058
89,51.577,-0.099,51.532,-0.096
90,51.5,0.029,51.498,-0.021
91,51.456,-0.105,51.535,-0.073
92,51.485,-0.212,51.486,-0.224
93,51.539,-0.15,51.461,-0.115
94,51.539,-0.15,51.461,-0.115
95,51.536,-0.102,51.531,-0.105
96,51.543,-0.188,51.579,-0.03
97,51.516,-0.066,51.424,-0.058
98,51.57,0.014,51.491,-0.118
99,51.442,-0.191,51.458,-0.19
100,51.473,-0.089,51.522,-0.078
101,51.395,-0.116,51.538,-0.142
102,51.517,-0.065,52.966,-2.817
103,51.493,-0.103,51.546,-0.064
104,51.513,-0.32,51.463,-0.027
105,51.531,-0.126,51.509,-0.145
106,51.591,-0.085,51.524,-0.073
107,51.552,-0.073,51.497,-0.062
108,51.455,-0.072,50.661,-4.581
109,51.443,-0.137,51.557,-0.103
110,51.562,0.1819,51.495,-0.061
111,51.566,-0.052,51.552,-0.073
