index,type,temp_max,temp_min,CET
0,Actual:,"4°","-1°","2014-01-01 00:00:00.000000"
1,Average:,"2°","-2°","2014-01-01 00:00:00.000000"
2,Actual:,"7°","1°","2014-01-02 00:00:00.000000"
3,Average:,"3°","-2°","2014-01-02 00:00:00.000000"
4,Actual:,"9°","3°","2014-01-03 00:00:00.000000"
5,Average:,"3°","-2°","2014-01-03 00:00:00.000000"
6,Actual:,"8°","4°","2014-01-04 00:00:00.000000"
7,Average:,"3°","-2°","2014-01-04 00:00:00.000000"
8,Actual:,"7°","2°","2014-01-05 00:00:00.000000"
9,Average:,"3°","-2°","2014-01-05 00:00:00.000000"
10,Actual:,"8°","1°","2014-01-06 00:00:00.000000"
11,Average:,"3°","-2°","2014-01-06 00:00:00.000000"
12,Actual:,"11°","7°","2014-01-07 00:00:00.000000"
13,Average:,"3°","-2°","2014-01-07 00:00:00.000000"
14,Actual:,"11°","5°","2014-01-08 00:00:00.000000"
15,Average:,"3°","-2°","2014-01-08 00:00:00.000000"
16,Actual:,"12°","4°","2014-01-09 00:00:00.000000"
17,Average:,"3°","-2°","2014-01-09 00:00:00.000000"
18,Actual:,"7°","5°","2014-01-10 00:00:00.000000"
19,Average:,"3°","-2°","2014-01-10 00:00:00.000000"
20,Actual:,"8°","3°","2014-01-11 00:00:00.000000"
21,Average:,"3°","-2°","2014-01-11 00:00:00.000000"
22,Actual:,"6°","1°","2014-01-12 00:00:00.000000"
23,Average:,"3°","-2°","2014-01-12 00:00:00.000000"
24,Actual:,"4°","-1°","2014-01-13 00:00:00.000000"
25,Average:,"3°","-2°","2014-01-13 00:00:00.000000"
26,Actual:,"6°","3°","2014-01-14 00:00:00.000000"
27,Average:,"4°","-1°","2014-01-14 00:00:00.000000"
28,Actual:,"4°","3°","2014-01-15 00:00:00.000000"
29,Average:,"4°","-1°","2014-01-15 00:00:00.000000"
30,Actual:,"4°","2°","2014-01-16 00:00:00.000000"
31,Average:,"4°","-1°","2014-01-16 00:00:00.000000"
32,Actual:,"8°","3°","2014-01-17 00:00:00.000000"
33,Average:,"4°","-1°","2014-01-17 00:00:00.000000"
34,Actual:,"6°","2°","2014-01-18 00:00:00.000000"
35,Average:,"4°","-1°","2014-01-18 00:00:00.000000"
36,Actual:,"2°","-3°","2014-01-19 00:00:00.000000"
37,Average:,"4°","-1°","2014-01-19 00:00:00.000000"
38,Actual:,"-2°","-3°","2014-01-20 00:00:00.000000"
39,Average:,"3°","-2°","2014-01-20 00:00:00.000000"
40,Actual:,"-2°","-5°","2014-01-21 00:00:00.000000"
41,Average:,"3°","-2°","2014-01-21 00:00:00.000000"
42,Actual:,"-4°","-6°","2014-01-22 00:00:00.000000"
43,Average:,"3°","-2°","2014-01-22 00:00:00.000000"
44,Actual:,"-5°","-6°","2014-01-23 00:00:00.000000"
45,Average:,"3°","-2°","2014-01-23 00:00:00.000000"
46,Actual:,"-6°","-12°","2014-01-24 00:00:00.000000"
47,Average:,"3°","-2°","2014-01-24 00:00:00.000000"
48,Actual:,"-8°","-14°","2014-01-25 00:00:00.000000"
49,Average:,"3°","-2°","2014-01-25 00:00:00.000000"
50,Actual:,"-9°","-14°","2014-01-26 00:00:00.000000"
51,Average:,"3°","-2°","2014-01-26 00:00:00.000000"
52,Actual:,"-2°","-11°","2014-01-27 00:00:00.000000"
53,Average:,"3°","-2°","2014-01-27 00:00:00.000000"
54,Actual:,"-1°","-5°","2014-01-28 00:00:00.000000"
55,Average:,"3°","-2°","2014-01-28 00:00:00.000000"
56,Actual:,"-5°","-7°","2014-01-29 00:00:00.000000"
57,Average:,"3°","-2°","2014-01-29 00:00:00.000000"
58,Actual:,"-3°","-7°","2014-01-30 00:00:00.000000"
59,Average:,"3°","-2°","2014-01-30 00:00:00.000000"
60,Actual:,"1°","-6°","2014-01-31 00:00:00.000000"
61,Average:,"3°","-2°","2014-01-31 00:00:00.000000"
0,Actual:,"6°","-2°","2014-02-01 00:00:00.000000"
1,Average:,"4°","-2°","2014-02-01 00:00:00.000000"
2,Actual:,"3°","2°","2014-02-02 00:00:00.000000"
3,Average:,"4°","-1°","2014-02-02 00:00:00.000000"
4,Actual:,"5°","1°","2014-02-03 00:00:00.000000"
5,Average:,"4°","-1°","2014-02-03 00:00:00.000000"
6,Actual:,"6°","-1°","2014-02-04 00:00:00.000000"
7,Average:,"4°","-1°","2014-02-04 00:00:00.000000"
8,Actual:,"5°","-2°","2014-02-05 00:00:00.000000"
9,Average:,"4°","-1°","2014-02-05 00:00:00.000000"
10,Actual:,"11°","1°","2014-02-06 00:00:00.000000"
11,Average:,"4°","-1°","2014-02-06 00:00:00.000000"
12,Actual:,"13°","4°","2014-02-07 00:00:00.000000"
13,Average:,"4°","-1°","2014-02-07 00:00:00.000000"
14,Actual:,"9°","3°","2014-02-08 00:00:00.000000"
15,Average:,"4°","-1°","2014-02-08 00:00:00.000000"
16,Actual:,"9°","3°","2014-02-09 00:00:00.000000"
17,Average:,"4°","-1°","2014-02-09 00:00:00.000000"
18,Actual:,"9°","1°","2014-02-10 00:00:00.000000"
19,Average:,"4°","-1°","2014-02-10 00:00:00.000000"
20,Actual:,"8°","3°","2014-02-11 00:00:00.000000"
21,Average:,"4°","-1°","2014-02-11 00:00:00.000000"
22,Actual:,"8°","2°","2014-02-12 00:00:00.000000"
23,Average:,"4°","-1°","2014-02-12 00:00:00.000000"
24,Actual:,"11°","1°","2014-02-13 00:00:00.000000"
25,Average:,"4°","-1°","2014-02-13 00:00:00.000000"
26,Actual:,"8°","3°","2014-02-14 00:00:00.000000"
27,Average:,"4°","-1°","2014-02-14 00:00:00.000000"
28,Actual:,"11°","4°","2014-02-15 00:00:00.000000"
29,Average:,"4°","-1°","2014-02-15 00:00:00.000000"
30,Actual:,"11°","4°","2014-02-16 00:00:00.000000"
31,Average:,"4°","-1°","2014-02-16 00:00:00.000000"
32,Actual:,"11°","-1°","2014-02-17 00:00:00.000000"
33,Average:,"4°","-1°","2014-02-17 00:00:00.000000"
34,Actual:,"9°","1°","2014-02-18 00:00:00.000000"
35,Average:,"4°","-1°","2014-02-18 00:00:00.000000"
36,Actual:,"8°","2°","2014-02-19 00:00:00.000000"
37,Average:,"4°","-1°","2014-02-19 00:00:00.000000"
38,Actual:,"11°","4°","2014-02-20 00:00:00.000000"
39,Average:,"4°","-1°","2014-02-20 00:00:00.000000"
40,Actual:,"11°","3°","2014-02-21 00:00:00.000000"
41,Average:,"4°","-1°","2014-02-21 00:00:00.000000"
42,Actual:,"11°","1°","2014-02-22 00:00:00.000000"
43,Average:,"4°","-1°","2014-02-22 00:00:00.000000"
44,Actual:,"10°","2°","2014-02-23 00:00:00.000000"
45,Average:,"4°","-2°","2014-02-23 00:00:00.000000"
46,Actual:,"13°","1°","2014-02-24 00:00:00.000000"
47,Average:,"4°","-2°","2014-02-24 00:00:00.000000"
48,Actual:,"13°","1°","2014-02-25 00:00:00.000000"
49,Average:,"4°","-2°","2014-02-25 00:00:00.000000"
50,Actual:,"14°","3°","2014-02-26 00:00:00.000000"
51,Average:,"4°","-2°","2014-02-26 00:00:00.000000"
52,Actual:,"11°","3°","2014-02-27 00:00:00.000000"
53,Average:,"4°","-2°","2014-02-27 00:00:00.000000"
54,Actual:,"8°","2°","2014-02-28 00:00:00.000000"
55,Average:,"4°","-2°","2014-02-28 00:00:00.000000"
0,Actual:,"11°","-1°","2014-03-01 00:00:00.000000"
1,Average:,"5°","-1°","2014-03-01 00:00:00.000000"
2,Actual:,"9°","2°","2014-03-02 00:00:00.000000"
3,Average:,"5°","-1°","2014-03-02 00:00:00.000000"
4,Actual:,"11°","2°","2014-03-03 00:00:00.000000"
5,Average:,"6°","-1°","2014-03-03 00:00:00.000000"
6,Actual:,"11°","4°","2014-03-04 00:00:00.000000"
7,Average:,"6°","-1°","2014-03-04 00:00:00.000000"
8,Actual:,"10°","3°","2014-03-05 00:00:00.000000"
9,Average:,"6°","-1°","2014-03-05 00:00:00.000000"
10,Actual:,"10°","2°","2014-03-06 00:00:00.000000"
11,Average:,"6°","-1°","2014-03-06 00:00:00.000000"
12,Actual:,"11°","-3°","2014-03-07 00:00:00.000000"
13,Average:,"7°","-1°","2014-03-07 00:00:00.000000"
14,Actual:,"13°","3°","2014-03-08 00:00:00.000000"
15,Average:,"7°","0°","2014-03-08 00:00:00.000000"
16,Actual:,"17°","2°","2014-03-09 00:00:00.000000"
17,Average:,"7°","0°","2014-03-09 00:00:00.000000"
18,Actual:,"17°","3°","2014-03-10 00:00:00.000000"
19,Average:,"7°","0°","2014-03-10 00:00:00.000000"
20,Actual:,"14°","1°","2014-03-11 00:00:00.000000"
21,Average:,"7°","1°","2014-03-11 00:00:00.000000"
22,Actual:,"15°","2°","2014-03-12 00:00:00.000000"
23,Average:,"7°","1°","2014-03-12 00:00:00.000000"
24,Actual:,"17°","-1°","2014-03-13 00:00:00.000000"
25,Average:,"7°","1°","2014-03-13 00:00:00.000000"
26,Actual:,"13°","-1°","2014-03-14 00:00:00.000000"
27,Average:,"7°","1°","2014-03-14 00:00:00.000000"
28,Actual:,"11°","5°","2014-03-15 00:00:00.000000"
29,Average:,"7°","1°","2014-03-15 00:00:00.000000"
30,Actual:,"11°","6°","2014-03-16 00:00:00.000000"
31,Average:,"7°","1°","2014-03-16 00:00:00.000000"
32,Actual:,"12°","8°","2014-03-17 00:00:00.000000"
33,Average:,"7°","0°","2014-03-17 00:00:00.000000"
34,Actual:,"13°","6°","2014-03-18 00:00:00.000000"
35,Average:,"7°","0°","2014-03-18 00:00:00.000000"
36,Actual:,"11°","7°","2014-03-19 00:00:00.000000"
37,Average:,"7°","0°","2014-03-19 00:00:00.000000"
38,Actual:,"19°","6°","2014-03-20 00:00:00.000000"
39,Average:,"7°","-1°","2014-03-20 00:00:00.000000"
40,Actual:,"22°","6°","2014-03-21 00:00:00.000000"
41,Average:,"7°","0°","2014-03-21 00:00:00.000000"
