,unique_id,city,job_qry,job_title,company_name,location,summary,salary,link,date,full_text
1,p_033b1e4550a09410,New+York,data+scientist,"Data Scientist, Music Analytics",Spotify,"New York, NY 10011 (Chelsea area)",NOT_FOUND,NOT_FOUND,/rc/clk?jk=033b1e4550a09410&fccid=fe404d18bb9eef1e&vjs=3,1 day ago,NOT_FOUND
2,p_41922d3ad138c2db,New+York,data+scientist,"Data Scientist, Forecasting",Spotify,"New York, NY 10011 (Chelsea area)",NOT_FOUND,NOT_FOUND,/rc/clk?jk=41922d3ad138c2db&fccid=fe404d18bb9eef1e&vjs=3,4 days ago,NOT_FOUND
3,p_1942a17d2bd166e1,New+York,data+scientist,Jr. Data Scientist,Viacom,"New York, NY 10036",NOT_FOUND,NOT_FOUND,/rc/clk?jk=1942a17d2bd166e1&fccid=ae0c894528aa6eee&vjs=3,5 days ago,NOT_FOUND
4,p_3afa4b5a60bab58f,New+York,data+scientist,"Data Scientist, Analytics (University Grad)",Facebook,"New York, NY 10017 (Midtown area)",NOT_FOUND,NOT_FOUND,/rc/clk?jk=3afa4b5a60bab58f&fccid=1639254ea84748b5&vjs=3,4 days ago,NOT_FOUND
5,p_555f9323d80cfcfb,New+York,data+scientist,Data Scientist,AETNA,"New York, NY 10016 (Gramercy area)",NOT_FOUND,NOT_FOUND,/rc/clk?jk=555f9323d80cfcfb&fccid=7077d7e88049c02a&vjs=3,1 day ago,NOT_FOUND
6,p_82ce7080f3f40731,New+York,data+scientist,Senior Data Scientist – Customer Support Experience,Spotify,"New York, NY 10011 (Chelsea area)",NOT_FOUND,NOT_FOUND,/rc/clk?jk=82ce7080f3f40731&fccid=fe404d18bb9eef1e&vjs=3,2 days ago,NOT_FOUND
7,p_31fffecf454ffea3,New+York,data+scientist,Data Scientist,American Express,"New York, NY",NOT_FOUND,NOT_FOUND,/rc/clk?jk=31fffecf454ffea3&fccid=f057e04c37cca134&vjs=3,5 days ago,NOT_FOUND
8,p_fb39afe7bcaeeecc,New+York,data+scientist,Senior Data Scientist,PepsiCo,"New York, NY",NOT_FOUND,NOT_FOUND,/rc/clk?jk=fb39afe7bcaeeecc&fccid=2973259ddc967948&vjs=3,8 days ago,NOT_FOUND
9,p_030e1b2d19456fbf,New+York,data+scientist,"Data Scientist, Product Analytics",Facebook,"New York, NY 10017 (Midtown area)",NOT_FOUND,NOT_FOUND,/rc/clk?jk=030e1b2d19456fbf&fccid=1639254ea84748b5&vjs=3,1 day ago,NOT_FOUND
10,p_5566e10e036d989e,New+York,data+scientist,"Data Scientist (C13/VP) New York, NY",Citi,New York State,NOT_FOUND,NOT_FOUND,/rc/clk?jk=5566e10e036d989e&fccid=5bcd1ef0a7f4fb99&vjs=3,30+ days ago,NOT_FOUND
