,unique_id,city,job_qry,job_title,company_name,location,summary,salary,link,date,full_text
1,p_b60e372e123dc662,New+York,data+engineer,Data Engineer Intern,Mount Sinai,"New York, NY",NOT_FOUND,NOT_FOUND,/rc/clk?jk=b60e372e123dc662&fccid=c007936ceb766fe5&vjs=3,1 day ago,NOT_FOUND
2,p_0db4fb68aee4b87d,New+York,data+engineer,Data Engineer,Yang2020,"New York, NY",NOT_FOUND,NOT_FOUND,/rc/clk?jk=0db4fb68aee4b87d&fccid=877cae5cde4da80e&vjs=3,7 days ago,NOT_FOUND
3,p_ac3fc834e83a7915,New+York,data+engineer,"Associate, Data Engineer",KPMG,"New York, NY 10001 (Chelsea area)",NOT_FOUND,NOT_FOUND,/rc/clk?jk=ac3fc834e83a7915&fccid=2dd390c3a48a7ed0&vjs=3,22 hours ago,NOT_FOUND
4,p_16e1d544aea57245,New+York,data+engineer,Entry Level Data Engineer,Naval Nuclear Laboratory,"Niskayuna, NY 12309",NOT_FOUND,NOT_FOUND,/rc/clk?jk=16e1d544aea57245&fccid=b5ff6a9d6acf7028&vjs=3,16 days ago,NOT_FOUND
5,p_da922f2e66b8f07a,New+York,data+engineer,Entry Level Data Visualization Engineer,Naval Nuclear Laboratory,"Niskayuna, NY 12309",NOT_FOUND,NOT_FOUND,/rc/clk?jk=da922f2e66b8f07a&fccid=b5ff6a9d6acf7028&vjs=3,16 days ago,NOT_FOUND
6,p_db256dc6e52086f2,New+York,data+engineer,Data Engineer,"Amazon.com Services, Inc.","New York, NY",NOT_FOUND,NOT_FOUND,/rc/clk?jk=db256dc6e52086f2&fccid=fe2d21eef233e94a&vjs=3,2 days ago,NOT_FOUND
7,p_6fc3d49ae6e8e62c,New+York,data+engineer,Software Engineer - Data Ops,Clear Street,"New York, NY",NOT_FOUND,NOT_FOUND,/rc/clk?jk=6fc3d49ae6e8e62c&fccid=ebcc4d153e3a8a01&vjs=3,6 hours ago,NOT_FOUND
8,p_d8ad6b947af501a7,New+York,data+engineer,"Data Engineer, Analytics, Intern",Facebook,"New York, NY 10017 (Midtown area)",NOT_FOUND,NOT_FOUND,/rc/clk?jk=d8ad6b947af501a7&fccid=1639254ea84748b5&vjs=3,30+ days ago,NOT_FOUND
9,p_50d19354fdf5c62a,New+York,data+engineer,Data Engineer,Gemini Trust,"New York, NY",NOT_FOUND,NOT_FOUND,/rc/clk?jk=50d19354fdf5c62a&fccid=2c6970e8e3aef328&vjs=3,3 days ago,NOT_FOUND
10,p_c67b0dc495e9a342,New+York,data+engineer,"Data Engineer Full-time New York, NY",TIDAL,"New York, NY 10001 (Chelsea area)",NOT_FOUND,NOT_FOUND,/rc/clk?jk=c67b0dc495e9a342&fccid=6c5072dfcb4f1de2&vjs=3,3 days ago,NOT_FOUND
11,p_a51fb47eabe6d56d,New+York,data+engineer,New York Hiring Conference - Data Engineer,"Amazon.com Services, Inc.","New York, NY",NOT_FOUND,NOT_FOUND,/rc/clk?jk=a51fb47eabe6d56d&fccid=fe2d21eef233e94a&vjs=3,27 days ago,NOT_FOUND
12,p_71f3b4e364918d67,New+York,data+engineer,Data Engineer,[m]Platform,"New York, NY",NOT_FOUND,NOT_FOUND,/rc/clk?jk=71f3b4e364918d67&fccid=0e84988f884a35cd&vjs=3,24 days ago,NOT_FOUND
13,p_2bb4f9f762609a77,New+York,data+engineer,Data Engineer,Capital One - US,"New York, NY",NOT_FOUND,NOT_FOUND,/rc/clk?jk=2bb4f9f762609a77&fccid=b85c5070c3d3d8c8&vjs=3,6 days ago,NOT_FOUND
14,p_229c0d316069112f,New+York,data+engineer,Data Engineer,Etsy,"New York, NY",NOT_FOUND,NOT_FOUND,/rc/clk?jk=229c0d316069112f&fccid=9ecb91618c39a24f&vjs=3,30+ days ago,NOT_FOUND
15,p_651cb3e863f8ca32,New+York,data+engineer,Data Engineer,Samsung NEXT,"New York, NY",NOT_FOUND,NOT_FOUND,/rc/clk?jk=651cb3e863f8ca32&fccid=6223ded47d6e8d79&vjs=3,15 days ago,NOT_FOUND
16,p_6717189dce46bfb9,New+York,data+engineer,Research and Data Integrity Intern,"Greystone & Co., Inc.","New York, NY 10019 (Midtown area)",NOT_FOUND,NOT_FOUND,/rc/clk?jk=6717189dce46bfb9&fccid=84fdc930694ca294&vjs=3,8 days ago,NOT_FOUND
17,p_6a260d53acd637d2,New+York,data+engineer,"Data Engineer, Measurement Program, YouTube",YouTube,"New York, NY",NOT_FOUND,NOT_FOUND,/rc/clk?jk=6a260d53acd637d2&fccid=a9021c35fcef6968&vjs=3,30+ days ago,NOT_FOUND
18,p_80c28649346cde82,New+York,data+engineer,Data Analytics Engineer,Bonobos,"New York, NY",NOT_FOUND,NOT_FOUND,/rc/clk?jk=80c28649346cde82&fccid=1af8c07806318c7b&vjs=3,25 days ago,NOT_FOUND
19,p_1d1f57f99125a119,New+York,data+engineer,Data Engineer,Capgemini,"New York, NY 10036",NOT_FOUND,NOT_FOUND,/rc/clk?jk=1d1f57f99125a119&fccid=105ecfd0283f415f&vjs=3,11 days ago,NOT_FOUND
20,p_c30c3f753af35a48,New+York,data+engineer,Data Engineer,The New York Times,"New York, NY 10036",NOT_FOUND,NOT_FOUND,/rc/clk?jk=c30c3f753af35a48&fccid=1b50fcfb150b1b48&vjs=3,30+ days ago,NOT_FOUND
21,p_e4fe644e237fa985,New+York,data+engineer,Data Engineer,DataDog,"New York, NY",NOT_FOUND,NOT_FOUND,/rc/clk?jk=e4fe644e237fa985&fccid=448951d0ddf03e0c&vjs=3,15 days ago,NOT_FOUND
22,p_b2feff10b02d67cd,New+York,data+engineer,Data Engineer,Butterfly Network,"New York, NY",NOT_FOUND,NOT_FOUND,/rc/clk?jk=b2feff10b02d67cd&fccid=f34adc12ba09e47f&vjs=3,21 days ago,NOT_FOUND
23,p_b6c328837f888b7c,New+York,data+engineer,Cyber Data Engineer,New York City DEPT OF INFO TECH & TELECOMM,"Brooklyn, NY",NOT_FOUND,NOT_FOUND,/rc/clk?jk=b6c328837f888b7c&fccid=29f4096cfef5d289&vjs=3,NOT_FOUND,NOT_FOUND
24,p_f55d9a2082267144,New+York,data+engineer,Data Pipeline Engineer,EMX Digital,"New York, NY",NOT_FOUND,NOT_FOUND,/rc/clk?jk=f55d9a2082267144&fccid=9c324be5cbb0efac&vjs=3,16 days ago,NOT_FOUND
25,p_fc456990eb18a862,New+York,data+engineer,Data Integration Engineer,Riskified,"New York, NY",NOT_FOUND,NOT_FOUND,/rc/clk?jk=fc456990eb18a862&fccid=c0cccca6dc7f0bd0&vjs=3,17 days ago,NOT_FOUND
26,p_756167b1f07bf5eb,New+York,data+engineer,Data Science Engineer,Nearpod,"Brooklyn, NY",NOT_FOUND,NOT_FOUND,/rc/clk?jk=756167b1f07bf5eb&fccid=6e43628e4fa625f7&vjs=3,11 days ago,NOT_FOUND
27,p_04cfcca30b6d3fe2,New+York,data+engineer,Data Engineer,NBCUniversal,"New York, NY",NOT_FOUND,NOT_FOUND,/rc/clk?jk=04cfcca30b6d3fe2&fccid=35d653c09c2712b6&vjs=3,8 days ago,NOT_FOUND
28,p_340b49823b638e01,New+York,data+engineer,"Director, Data Engineer",KPMG,"New York, NY 10001 (Chelsea area)",NOT_FOUND,NOT_FOUND,/rc/clk?jk=340b49823b638e01&fccid=2dd390c3a48a7ed0&vjs=3,22 hours ago,NOT_FOUND
29,p_a75ea646f94a30a6,New+York,data+engineer,Data Engineer,Ocrolus,"New York, NY",NOT_FOUND,NOT_FOUND,/rc/clk?jk=a75ea646f94a30a6&fccid=5a599bb89ab2a26a&vjs=3,NOT_FOUND,NOT_FOUND
30,p_4ac50a6af61a6718,New+York,data+engineer,Data Engineer – Growth,Spotify,"New York, NY 10011 (Chelsea area)",NOT_FOUND,NOT_FOUND,/rc/clk?jk=4ac50a6af61a6718&fccid=fe404d18bb9eef1e&vjs=3,NOT_FOUND,NOT_FOUND
31,p_3ae122731d22627b,New+York,data+engineer,Data Engineer,Bitly,"New York, NY 10003 (Greenwich Village area)",NOT_FOUND,NOT_FOUND,/rc/clk?jk=3ae122731d22627b&fccid=86e065c1c9b15d32&vjs=3,30+ days ago,NOT_FOUND
32,p_1e6af12e11832ef7,New+York,data+engineer,Marquee - Data/Risk Engineer,Goldman Sachs,"New York, NY 10282 (Tribeca area)",NOT_FOUND,NOT_FOUND,/rc/clk?jk=1e6af12e11832ef7&fccid=16a97ed26c75bf2d&vjs=3,7 days ago,NOT_FOUND
33,p_81e398ab5186135d,New+York,data+engineer,Sr Talend Engineer ( Data Engineer),Third Republic,"New York, NY 10017 (Midtown area)",NOT_FOUND,NOT_FOUND,/rc/clk?jk=81e398ab5186135d&fccid=643b9433027b4c5d&vjs=3,30+ days ago,NOT_FOUND
34,p_a14bdb7875f17bce,New+York,data+engineer,Data Center Engineer,"Two Sigma Investments, LLC.","New York, NY",NOT_FOUND,NOT_FOUND,/rc/clk?jk=a14bdb7875f17bce&fccid=facc18fe475dac15&vjs=3,30+ days ago,NOT_FOUND
35,p_e0cc557a2052d193,New+York,data+engineer,Data Engineer,GameChanger,"New York, NY",NOT_FOUND,NOT_FOUND,/rc/clk?jk=e0cc557a2052d193&fccid=23ff70694b33637d&vjs=3,30+ days ago,NOT_FOUND
36,p_308418e1c0d89eb3,New+York,data+engineer,Data Engineer - Value Models,Geophy,"New York, NY",NOT_FOUND,NOT_FOUND,/rc/clk?jk=308418e1c0d89eb3&fccid=2325d8d1451bddfc&vjs=3,30+ days ago,NOT_FOUND
37,p_b25c75e7283264dc,New+York,data+engineer,Data Engineer,Sony Music Entertainment,"New York, NY 10010 (Gramercy area)",NOT_FOUND,NOT_FOUND,/rc/clk?jk=b25c75e7283264dc&fccid=c5284eeef83d4d1c&vjs=3,11 days ago,NOT_FOUND
38,p_6f5a26bd7dd172de,New+York,data+engineer,Building Engineer - Data Center,CBRE,"Poughkeepsie, NY",NOT_FOUND,NOT_FOUND,/rc/clk?jk=6f5a26bd7dd172de&fccid=c9b9e477b3c84b4d&vjs=3,4 days ago,NOT_FOUND
39,p_f0fd5e704afb932b,New+York,data+engineer,Data Engineer,Nestle Nespresso,"New York, NY",NOT_FOUND,NOT_FOUND,/rc/clk?jk=f0fd5e704afb932b&fccid=3895cf36fa8131ae&vjs=3,30+ days ago,NOT_FOUND
40,p_d797fd17e6142c5b,New+York,data+engineer,HVAC Building Engineer - Data Center,CBRE,"Orangeburg, NY",NOT_FOUND,NOT_FOUND,/rc/clk?jk=d797fd17e6142c5b&fccid=c9b9e477b3c84b4d&vjs=3,11 hours ago,NOT_FOUND
41,p_c9e9ab7714ca58df,New+York,data+engineer,Data Engineer,AllianceBernstein,"New York, NY 10020 (Midtown area)",NOT_FOUND,NOT_FOUND,/rc/clk?jk=c9e9ab7714ca58df&fccid=b374f2a780e04789&vjs=3,7+ days ago,NOT_FOUND
42,p_ab8f1c398cd79a1e,New+York,data+engineer,Data Engineer | NYC,Photon,"New York, NY 10001 (Chelsea area)",NOT_FOUND,NOT_FOUND,/rc/clk?jk=ab8f1c398cd79a1e&fccid=2991b2efe601571d&vjs=3,7+ days ago,NOT_FOUND
43,p_742c873b9811ce5e,New+York,data+engineer,Data Engineer,Getty Images,"New York, NY",NOT_FOUND,NOT_FOUND,/rc/clk?jk=742c873b9811ce5e&fccid=c68f858ef73a0c44&vjs=3,7+ days ago,NOT_FOUND
44,p_d925dee27d8ff9bf,New+York,data+engineer,Data Engineer,Canvs,"New York, NY 10004 (Financial District area)",NOT_FOUND,NOT_FOUND,/rc/clk?jk=d925dee27d8ff9bf&fccid=3417393c97340b3d&vjs=3,7+ days ago,NOT_FOUND
45,p_009ee0f1f1d71151,New+York,data+engineer,"Data Engineer, Newsroom",Dow Jones,"New York, NY 10176 (Murray Hill area)",NOT_FOUND,NOT_FOUND,/rc/clk?jk=009ee0f1f1d71151&fccid=d2621f51dde471d3&vjs=3,7+ days ago,NOT_FOUND
