,unique_id,city,job_qry,job_title,company_name,location,summary,salary,link,date,full_text
1,p_fd7d8df84ac6d64e,Singapore,data+engineer,Data Engineer,Sciente,Singapore,NOT_FOUND,NOT_FOUND,https://www.indeed.com.sg//rc/clk?jk=fd7d8df84ac6d64e&fccid=a176617a4318c18e&vjs=3,1 day ago,NOT_FOUND
2,p_f18a82cedb6d458e,Singapore,data+engineer,Data Engineer,COMPANY UNDISCLOSED,Singapore,NOT_FOUND,NOT_FOUND,https://www.indeed.com.sg//rc/clk?jk=f18a82cedb6d458e&fccid=4b0ebac67b029a4e&vjs=3,1 day ago,NOT_FOUND
3,p_55481b82af52aea7,Singapore,data+engineer,REQUIREMENT NEEDED ELECTRICAL ENGINEER FOR SINGAPORE,Click.in,Singapore,NOT_FOUND,NOT_FOUND,https://www.indeed.com.sg//rc/clk?jk=55481b82af52aea7&fccid=dd616958bd9ddc12&vjs=3,14 hours ago,NOT_FOUND
4,p_5c55a8c4669fbe8f,Singapore,data+engineer,ETL & Data Engineer,CONTINENTAL TECHNOLOGY SOLUTIONS PTE. LTD.,Ubi,NOT_FOUND,NOT_FOUND,https://www.indeed.com.sg//rc/clk?jk=5c55a8c4669fbe8f&fccid=89ed57b223b5aeb2&vjs=3,1 day ago,NOT_FOUND
5,p_f5192c466d2e7004,Singapore,data+engineer,MECHANICAL ENGINEER IMMEDIATELY NEEDED IN SINGAPORE,Click.in,Singapore,NOT_FOUND,NOT_FOUND,https://www.indeed.com.sg//rc/clk?jk=f5192c466d2e7004&fccid=dd616958bd9ddc12&vjs=3,2 days ago,NOT_FOUND
6,p_c92a9a3b74181a73,Singapore,data+engineer,Data Engineer,GOVERNMENT TECHNOLOGY AGENCY,Singapore,NOT_FOUND,NOT_FOUND,https://www.indeed.com.sg//rc/clk?jk=c92a9a3b74181a73&fccid=3b9a5811a8b6410b&vjs=3,14 hours ago,NOT_FOUND
7,p_579f1d989b768eea,Singapore,data+engineer,Data Engineer,Dentsu Aegis Network,Singapore,NOT_FOUND,NOT_FOUND,https://www.indeed.com.sg//rc/clk?jk=579f1d989b768eea&fccid=9834e576343ebcc2&vjs=3,4 days ago,NOT_FOUND
8,p_6cd226a5c330b741,Singapore,data+engineer,REQUIREMENT MECHANICAL ENGINEER NEEDED FOR SINGAPORE,Click.in,Singapore,NOT_FOUND,NOT_FOUND,https://www.indeed.com.sg//rc/clk?jk=6cd226a5c330b741&fccid=dd616958bd9ddc12&vjs=3,14 hours ago,NOT_FOUND
9,p_d12a62219052eba4,Singapore,data+engineer,Facilities Engineer - Data Centre,JLL,Singapore,NOT_FOUND,NOT_FOUND,https://www.indeed.com.sg//rc/clk?jk=d12a62219052eba4&fccid=9917de3c28f569f6&vjs=3,4 days ago,NOT_FOUND
10,p_46df5ce493764248,Singapore,data+engineer,Data Engineer,RAKUTEN ASIA PTE. LTD.,Singapore,NOT_FOUND,NOT_FOUND,https://www.indeed.com.sg//rc/clk?jk=46df5ce493764248&fccid=5e50810dc475b1eb&vjs=3,1 day ago,NOT_FOUND
11,p_47eba1726653db52,Singapore,data+engineer,Associate Test Engineer (Optics),KLA-Tencor,Singapore,NOT_FOUND,NOT_FOUND,https://www.indeed.com.sg//rc/clk?jk=47eba1726653db52&fccid=c8fc142c28286059&vjs=3,21 hours ago,NOT_FOUND
12,p_47d527a6c0a240b3,Singapore,data+engineer,MECHANICAL ENGINEER NEEDED FOR SINGAPORE,Click.in,Singapore,NOT_FOUND,NOT_FOUND,https://www.indeed.com.sg//rc/clk?jk=47d527a6c0a240b3&fccid=dd616958bd9ddc12&vjs=3,3 days ago,NOT_FOUND
13,p_b4624cd2ce594861,Singapore,data+engineer,Data Center Facility Engineer,Equinix,Singapore,NOT_FOUND,NOT_FOUND,https://www.indeed.com.sg//rc/clk?jk=b4624cd2ce594861&fccid=e15d9e27876d9dc3&vjs=3,30+ days ago,NOT_FOUND
14,p_9c28ad7d97f0f613,Singapore,data+engineer,AUTOCAD CIVIIL ENGINEER IN SINGAPORE,Click.in,Singapore,NOT_FOUND,NOT_FOUND,https://www.indeed.com.sg//rc/clk?jk=9c28ad7d97f0f613&fccid=dd616958bd9ddc12&vjs=3,1 day ago,NOT_FOUND
