,unique_id,city,job_qry,job_title,company_name,location,summary,salary,link,date,full_text
2,p_17aa6a8385dafc69,New+York,data+engineer,GCP Data Engineer,Third Republic,"New York, NY 10001 (Chelsea area)",NOT_FOUND,NOT_FOUND,https://www.indeed.com/rc/clk?jk=17aa6a8385dafc69&fccid=643b9433027b4c5d&vjs=3,1 day ago,NOT_FOUND
4,p_e5bc828458d9a05c,New+York,data+engineer,Data Engineer,Butterfly Network,"New York, NY",NOT_FOUND,NOT_FOUND,https://www.indeed.com/rc/clk?jk=e5bc828458d9a05c&fccid=f34adc12ba09e47f&vjs=3,1 day ago,NOT_FOUND
12,p_f0dbe7616e3cffdd,New+York,data+engineer,Data Engineer (AWS),Blink Fitness,"New York, NY",NOT_FOUND,NOT_FOUND,https://www.indeed.com/rc/clk?jk=f0dbe7616e3cffdd&fccid=ddf5b0fabe2b2597&vjs=3,1 day ago,NOT_FOUND
46,p_7e3eb35fa7c8069d,New+York,data+engineer,Distinguished Data Engineer,Capital One - US,"New York, NY 10011 (Chelsea area)",NOT_FOUND,NOT_FOUND,https://www.indeed.com/rc/clk?jk=7e3eb35fa7c8069d&fccid=b85c5070c3d3d8c8&vjs=3,11 days ago,NOT_FOUND
45,p_2bb4f9f762609a77,New+York,data+engineer,Data Engineer,Capital One - US,"New York, NY",NOT_FOUND,NOT_FOUND,https://www.indeed.com/rc/clk?jk=2bb4f9f762609a77&fccid=b85c5070c3d3d8c8&vjs=3,11 days ago,NOT_FOUND
3,p_42d56d0185a18f63,New+York,data+engineer,Fullstack Developer/Data Engineer,Memorial Sloan Kettering,"New York, NY 10017 (Midtown area)",NOT_FOUND,NOT_FOUND,https://www.indeed.com/rc/clk?jk=42d56d0185a18f63&fccid=1320c50b75f44505&vjs=3,12 hours ago,NOT_FOUND
49,p_516ec3f30e895fcf,New+York,data+engineer,STATIONARY ENGINEER,Mount Sinai,"New York, NY",NOT_FOUND,NOT_FOUND,https://www.indeed.com/rc/clk?jk=516ec3f30e895fcf&fccid=c007936ceb766fe5&vjs=3,12 hours ago,NOT_FOUND
25,p_04cfcca30b6d3fe2,New+York,data+engineer,Data Engineer,NBCUniversal,"New York, NY",NOT_FOUND,NOT_FOUND,https://www.indeed.com/rc/clk?jk=04cfcca30b6d3fe2&fccid=35d653c09c2712b6&vjs=3,13 days ago,NOT_FOUND
40,p_d925dee27d8ff9bf,New+York,data+engineer,Data Engineer,Canvs,"New York, NY 10004 (Financial District area)",NOT_FOUND,NOT_FOUND,https://www.indeed.com/rc/clk?jk=d925dee27d8ff9bf&fccid=3417393c97340b3d&vjs=3,13 days ago,NOT_FOUND
28,p_6717189dce46bfb9,New+York,data+engineer,Research and Data Integrity Intern,"Greystone & Co., Inc.","New York, NY 10019 (Midtown area)",NOT_FOUND,NOT_FOUND,https://www.indeed.com/rc/clk?jk=6717189dce46bfb9&fccid=84fdc930694ca294&vjs=3,13 days ago,NOT_FOUND
48,p_3a66702e25e24876,New+York,data+engineer,Data Engineer,Capgemini,"New York, NY 10036",NOT_FOUND,NOT_FOUND,https://www.indeed.com/rc/clk?jk=3a66702e25e24876&fccid=105ecfd0283f415f&vjs=3,16 days ago,NOT_FOUND
41,p_651cb3e863f8ca32,New+York,data+engineer,Data Engineer,Samsung NEXT,"New York, NY",NOT_FOUND,NOT_FOUND,https://www.indeed.com/rc/clk?jk=651cb3e863f8ca32&fccid=6223ded47d6e8d79&vjs=3,20 days ago,NOT_FOUND
26,p_e4fe644e237fa985,New+York,data+engineer,Data Engineer,DataDog,"New York, NY",NOT_FOUND,NOT_FOUND,https://www.indeed.com/rc/clk?jk=e4fe644e237fa985&fccid=448951d0ddf03e0c&vjs=3,20 days ago,NOT_FOUND
44,p_6085695c90aefba2,New+York,data+engineer,JavaScript Engineer (Disney+),Disney Streaming Services,"New York, NY",NOT_FOUND,NOT_FOUND,https://www.indeed.com/rc/clk?jk=6085695c90aefba2&fccid=4b5d257051285786&vjs=3,20 hours ago,NOT_FOUND
15,p_3e3c0a66733f90b0,New+York,data+engineer,"Engineer, Data Science",NBCUniversal,"New York, NY",NOT_FOUND,NOT_FOUND,https://www.indeed.com/rc/clk?jk=3e3c0a66733f90b0&fccid=35d653c09c2712b6&vjs=3,20 hours ago,NOT_FOUND
50,p_8b4339542f3b0ed9,New+York,data+engineer,"Assistant/Associate Engineer, Load Management",New York City DEPT OF CITYWIDE ADMIN SVCS,"New York, NY",NOT_FOUND,NOT_FOUND,https://www.indeed.com/rc/clk?jk=8b4339542f3b0ed9&fccid=e28659ba5017ca0f&vjs=3,3 hours ago,NOT_FOUND
47,p_3417bff2160ff593,New+York,data+engineer,Clerical Associate (Part-Time),New York City DEPT OF ENVIRONMENT PROTECTION,"New York, NY",NOT_FOUND,NOT_FOUND,https://www.indeed.com/rc/clk?jk=3417bff2160ff593&fccid=eb9f741e5a9caadd&vjs=3,30+ days ago,NOT_FOUND
43,p_a14bdb7875f17bce,New+York,data+engineer,Data Center Engineer,"Two Sigma Investments, LLC.","New York, NY",NOT_FOUND,NOT_FOUND,https://www.indeed.com/rc/clk?jk=a14bdb7875f17bce&fccid=facc18fe475dac15&vjs=3,30+ days ago,NOT_FOUND
42,p_7a49c8329da558ff,New+York,data+engineer,Data Engineer,"Remedy BPCI Partners, LLC.","New York, NY",NOT_FOUND,NOT_FOUND,https://www.indeed.com/rc/clk?jk=7a49c8329da558ff&fccid=9744e569304da4d3&vjs=3,30+ days ago,NOT_FOUND
36,p_e1f9496bb26f2cf9,New+York,data+engineer,Data Operations Engineer,"HealthCare Partners, MSO","Garden City, NY",NOT_FOUND,NOT_FOUND,https://www.indeed.com/rc/clk?jk=e1f9496bb26f2cf9&fccid=5f645a490c5749b6&vjs=3,5 days ago,NOT_FOUND
17,p_ac3fc834e83a7915,New+York,data+engineer,"Associate, Data Engineer",KPMG,"New York, NY 10001 (Chelsea area)",NOT_FOUND,NOT_FOUND,https://www.indeed.com/rc/clk?jk=ac3fc834e83a7915&fccid=2dd390c3a48a7ed0&vjs=3,6 days ago,NOT_FOUND
1,p_b60e372e123dc662,New+York,data+engineer,Data Engineer Intern,Mount Sinai,"New York, NY",NOT_FOUND,NOT_FOUND,https://www.indeed.com/rc/clk?jk=b60e372e123dc662&fccid=c007936ceb766fe5&vjs=3,6 days ago,NOT_FOUND
30,p_527691d6e6c48b37,New+York,data+engineer,Marquee - Data Engineer,Goldman Sachs,"New York, NY 10282 (Tribeca area)",NOT_FOUND,NOT_FOUND,https://www.indeed.com/rc/clk?jk=527691d6e6c48b37&fccid=16a97ed26c75bf2d&vjs=3,8 days ago,NOT_FOUND
5,p_42203e9064e622b3,New+York,data+engineer,Software Engineer - Full Stack (Entry Level),TripAdvisor,"New York, NY",NOT_FOUND,NOT_FOUND,https://www.indeed.com/rc/clk?jk=42203e9064e622b3&fccid=28d541df71b2f171&vjs=3,9 hours ago,NOT_FOUND
23,p_009ee0f1f1d71151,New+York,data+engineer,"Data Engineer, Newsroom",Dow Jones,"New York, NY 10176 (Murray Hill area)",NOT_FOUND,NOT_FOUND,https://www.indeed.com/rc/clk?jk=009ee0f1f1d71151&fccid=d2621f51dde471d3&vjs=3,NOT_FOUND,NOT_FOUND
18,p_d8ad6b947af501a7,New+York,data+engineer,"Data Engineer, Analytics, Intern",Facebook,"New York, NY 10017 (Midtown area)",NOT_FOUND,NOT_FOUND,https://www.indeed.com/rc/clk?jk=d8ad6b947af501a7&fccid=1639254ea84748b5&vjs=3,NOT_FOUND,NOT_FOUND
