,unique_id,city,job_qry,job_title,company_name,location,summary,salary,link,date,full_text
46,p_3bfc1581188b5b6f,New+York,data+scientist,"2020 Intern - Junior Data Scientist Intern, Chief Analytics Office",IBM,"Armonk, NY 10504",NOT_FOUND,NOT_FOUND,https://www.indeed.com/rc/clk?jk=3bfc1581188b5b6f&fccid=de71a49b535e21cb&vjs=3,1 hour ago,NOT_FOUND
1,p_42e7131e05fbcde9,New+York,data+scientist,Data Scientist,Yang2020,"New York, NY",NOT_FOUND,NOT_FOUND,https://www.indeed.com/rc/clk?jk=42e7131e05fbcde9&fccid=877cae5cde4da80e&vjs=3,12 days ago,NOT_FOUND
8,p_55596a80f15c59a8,New+York,data+scientist,Data Analyst,Yang2020,"New York, NY",NOT_FOUND,NOT_FOUND,https://www.indeed.com/rc/clk?jk=55596a80f15c59a8&fccid=877cae5cde4da80e&vjs=3,12 days ago,NOT_FOUND
2,p_9fc0666d0021f1f8,New+York,data+scientist,Data Scientist,GameChanger,"New York, NY",NOT_FOUND,NOT_FOUND,https://www.indeed.com/rc/clk?jk=9fc0666d0021f1f8&fccid=23ff70694b33637d&vjs=3,14 hours ago,NOT_FOUND
47,p_8f5ebed19692df05,New+York,data+scientist,"Center of Excellence (COE) Data Scientist, Strategic Procurement",Macy's,"New York, NY 10001 (Chelsea area)",NOT_FOUND,NOT_FOUND,https://www.indeed.com/rc/clk?jk=8f5ebed19692df05&fccid=6df24d87c9f05a07&vjs=3,15 days ago,NOT_FOUND
5,p_f01c567c3c4436b3,New+York,data+scientist,Data Scientist,HOMER,"New York, NY 10155 (Midtown area)",NOT_FOUND,NOT_FOUND,https://www.indeed.com/rc/clk?jk=f01c567c3c4436b3&fccid=04b6faee0d672032&vjs=3,16 hours ago,NOT_FOUND
13,p_7133f12bd7a33aaa,New+York,data+scientist,"Data Scientist, Content Analytics",Spotify,"New York, NY 10011 (Chelsea area)",NOT_FOUND,NOT_FOUND,https://www.indeed.com/rc/clk?jk=7133f12bd7a33aaa&fccid=fe404d18bb9eef1e&vjs=3,16 hours ago,NOT_FOUND
36,p_83bb2269a0b9492b,New+York,data+scientist,Data Scientist,Butterfly Network,"New York, NY",NOT_FOUND,NOT_FOUND,https://www.indeed.com/rc/clk?jk=83bb2269a0b9492b&fccid=f34adc12ba09e47f&vjs=3,19 days ago,NOT_FOUND
25,p_5726bb7b9a6dfb44,New+York,data+scientist,Data Scientist,AETNA,"New York, NY 10016 (Gramercy area)",NOT_FOUND,NOT_FOUND,https://www.indeed.com/rc/clk?jk=5726bb7b9a6dfb44&fccid=7077d7e88049c02a&vjs=3,19 days ago,NOT_FOUND
26,p_c45a26c11f08b26a,New+York,data+scientist,Quantitative Data Analyst,Hylink Group,"New York, NY",NOT_FOUND,NOT_FOUND,https://www.indeed.com/rc/clk?jk=c45a26c11f08b26a&fccid=a7ed1a66e78ce7b8&vjs=3,2 days ago,NOT_FOUND
10,p_79dee54b65baea68,New+York,data+scientist,Data Scientist,Morgan Stanley,"New York, NY",NOT_FOUND,NOT_FOUND,https://www.indeed.com/rc/clk?jk=79dee54b65baea68&fccid=0c39fb2c91742dcf&vjs=3,20 hours ago,NOT_FOUND
48,p_26ace1478a11139c,New+York,data+scientist,Data Scientist | NYC,Photon,"New York, NY 10001 (Chelsea area)",NOT_FOUND,NOT_FOUND,https://www.indeed.com/rc/clk?jk=26ace1478a11139c&fccid=2991b2efe601571d&vjs=3,21 days ago,NOT_FOUND
42,p_265d599e09ee9514,New+York,data+scientist,Data Scientist,Fraank Systems,"New York, NY",NOT_FOUND,NOT_FOUND,https://www.indeed.com/rc/clk?jk=265d599e09ee9514&fccid=35b6f6b34775cba2&vjs=3,27 days ago,NOT_FOUND
40,p_265d599e09ee9514,New+York,data+scientist,Data Scientist,Fraank Systems,"New York, NY",NOT_FOUND,NOT_FOUND,https://www.indeed.com/rc/clk?jk=265d599e09ee9514&fccid=35b6f6b34775cba2&vjs=3,27 days ago,NOT_FOUND
44,p_3a92de8b0dd8281b,New+York,data+scientist,Data Scientist,IFG Companies,"New York, NY 10022 (Midtown area)",NOT_FOUND,NOT_FOUND,https://www.indeed.com/rc/clk?jk=3a92de8b0dd8281b&fccid=8eb89cf7f14f9913&vjs=3,30+ days ago,NOT_FOUND
29,p_1eb7e96ae99c871d,New+York,data+scientist,"Data Scientist, Analytics, Intern",Facebook,"New York, NY 10017 (Midtown area)",NOT_FOUND,NOT_FOUND,https://www.indeed.com/rc/clk?jk=1eb7e96ae99c871d&fccid=1639254ea84748b5&vjs=3,30+ days ago,NOT_FOUND
28,p_0d06f35182f520d0,New+York,data+scientist,Data Scientist,Bank of America,"New York, NY 10038 (Financial District area)",NOT_FOUND,NOT_FOUND,https://www.indeed.com/rc/clk?jk=0d06f35182f520d0&fccid=5bd99dfa21c8a490&vjs=3,30+ days ago,NOT_FOUND
49,p_179c74b0339e9582,New+York,data+scientist,"Data Scientist, Analytics",Facebook,"New York, NY 10017 (Midtown area)",NOT_FOUND,NOT_FOUND,https://www.indeed.com/rc/clk?jk=179c74b0339e9582&fccid=1639254ea84748b5&vjs=3,30+ days ago,NOT_FOUND
