,unique_id,city,job_qry,job_title,company_name,location,summary,salary,link,date,full_text
2,p_fe079495b68a24ac,New+York,machine+learning+engineer,"Engineer, Machine Learning - Copilot",Xaxis,"New York, NY",NOT_FOUND,NOT_FOUND,https://www.indeed.com/rc/clk?jk=fe079495b68a24ac&fccid=3d73f189e746988f&vjs=3,1 day ago,NOT_FOUND
38,p_17aa6a8385dafc69,New+York,machine+learning+engineer,GCP Data Engineer,Third Republic,"New York, NY 10001 (Chelsea area)",NOT_FOUND,NOT_FOUND,https://www.indeed.com/rc/clk?jk=17aa6a8385dafc69&fccid=643b9433027b4c5d&vjs=3,1 day ago,NOT_FOUND
37,p_329605a2855977fc,New+York,machine+learning+engineer,Machine Learning Product Manager,WeWork,"New York, NY",NOT_FOUND,NOT_FOUND,https://www.indeed.com/rc/clk?jk=329605a2855977fc&fccid=e76dadb9a0d8a2cf&vjs=3,15 days ago,NOT_FOUND
29,p_a7a2ef43cfc92463,New+York,machine+learning+engineer,CIMD - Marcus by Goldman Sachs - Machine Learning Engineer,Goldman Sachs,"New York, NY 10282 (Tribeca area)",NOT_FOUND,NOT_FOUND,https://www.indeed.com/rc/clk?jk=a7a2ef43cfc92463&fccid=16a97ed26c75bf2d&vjs=3,20 days ago,NOT_FOUND
30,p_2418946e67d3a1d7,New+York,machine+learning+engineer,Machine Learning Engineer,Tapestry,"New York, NY 10011 (Chelsea area)",NOT_FOUND,NOT_FOUND,https://www.indeed.com/rc/clk?jk=2418946e67d3a1d7&fccid=4b0e713ef50478fa&vjs=3,26 days ago,NOT_FOUND
27,p_54159c3e9f901d00,New+York,machine+learning+engineer,"Software Engineer, Machine Learning",Facebook,"New York, NY 10017 (Midtown area)",NOT_FOUND,NOT_FOUND,https://www.indeed.com/rc/clk?jk=54159c3e9f901d00&fccid=1639254ea84748b5&vjs=3,30+ days ago,NOT_FOUND
26,p_c4d9084bcf2cf55f,New+York,machine+learning+engineer,CIB Machine Learning Center of Excellence - Machine Learning Engineer - Vice President,JP Morgan Chase,"New York, NY 10002 (Lower East Side area)",NOT_FOUND,NOT_FOUND,https://www.indeed.com/rc/clk?jk=c4d9084bcf2cf55f&fccid=c46d0116f6e69eae&vjs=3,30+ days ago,NOT_FOUND
24,p_f426a0686289a61a,New+York,machine+learning+engineer,Machine Learning/ NLP Engineer,IBM,"New York, NY 10002 (Lower East Side area)",NOT_FOUND,NOT_FOUND,https://www.indeed.com/rc/clk?jk=f426a0686289a61a&fccid=de71a49b535e21cb&vjs=3,30+ days ago,NOT_FOUND
23,p_6cd100e0ff49c889,New+York,machine+learning+engineer,"Machine Learning Engineer, Member Experience",WeWork,"New York, NY",NOT_FOUND,NOT_FOUND,https://www.indeed.com/rc/clk?jk=6cd100e0ff49c889&fccid=e76dadb9a0d8a2cf&vjs=3,30+ days ago,NOT_FOUND
22,p_c27637f6c332955c,New+York,machine+learning+engineer,Machine Learning Engineer,Perch,"New York, NY",NOT_FOUND,NOT_FOUND,https://www.indeed.com/rc/clk?jk=c27637f6c332955c&fccid=08211ca3b560b505&vjs=3,30+ days ago,NOT_FOUND
21,p_57794725a2ef83bf,New+York,machine+learning+engineer,NLP/ Machine Learning R&D Engineer,IPsoft,"New York, NY 10004 (Financial District area)",NOT_FOUND,NOT_FOUND,https://www.indeed.com/rc/clk?jk=57794725a2ef83bf&fccid=bdfa6d514c47a26e&vjs=3,30+ days ago,NOT_FOUND
31,p_fd5e4a61b33a7f6a,New+York,machine+learning+engineer,Algorithm & Machine Learning Engineer,Comcast,"New York, NY 10018 (Clinton area)",NOT_FOUND,NOT_FOUND,https://www.indeed.com/rc/clk?jk=fd5e4a61b33a7f6a&fccid=ea25315ee9da22e5&vjs=3,30+ days ago,NOT_FOUND
32,p_923e7c975877dc0f,New+York,machine+learning+engineer,Machine Learning Scientist,Data Capital Management (DCM),"New York, NY",NOT_FOUND,NOT_FOUND,https://www.indeed.com/rc/clk?jk=923e7c975877dc0f&fccid=c1f0f9f741315d61&vjs=3,30+ days ago,NOT_FOUND
33,p_bd76be5f0fb8aae1,New+York,machine+learning+engineer,"Specialist SA, Machine Learning/AI Services","Amazon Web Services, Inc.","New York, NY",NOT_FOUND,NOT_FOUND,https://www.indeed.com/rc/clk?jk=bd76be5f0fb8aae1&fccid=fe2d21eef233e94a&vjs=3,30+ days ago,NOT_FOUND
34,p_2aa41585f0946d89,New+York,machine+learning+engineer,Machine Learning Engineer,AlphaSense,"New York, NY 10003 (Greenwich Village area)",NOT_FOUND,NOT_FOUND,https://www.indeed.com/rc/clk?jk=2aa41585f0946d89&fccid=ef706d6bb1254bcf&vjs=3,30+ days ago,NOT_FOUND
