,unique_id,city,job_qry,job_title,company_name,location,summary,salary,link,date,full_text
42,p_9ffaead32d8e0c8a,San+Francisco,data+engineer,Commissioning Engineer I,"Affiliated Engineers, Inc.","San Francisco, CA 94105 (Financial District area)",NOT_FOUND,NOT_FOUND,https://www.indeed.com/rc/clk?jk=9ffaead32d8e0c8a&fccid=ddae60227f3214d5&vjs=3,1 day ago,NOT_FOUND
38,p_82b9843d3fa4cc74,San+Francisco,data+engineer,Sr. Data Engineer,Trianz,"San Francisco, CA",NOT_FOUND,NOT_FOUND,https://www.indeed.com/rc/clk?jk=82b9843d3fa4cc74&fccid=65a841a7f945806c&vjs=3,1 day ago,NOT_FOUND
1,p_8c5762f98e91de0d,San+Francisco,data+engineer,"Data Engineer - Sunnyvale, California",Averna,"San Francisco, CA",NOT_FOUND,NOT_FOUND,https://www.indeed.com/rc/clk?jk=8c5762f98e91de0d&fccid=4925e167fdc076db&vjs=3,10 hours ago,NOT_FOUND
6,p_544e3faafc2bf1d7,San+Francisco,data+engineer,Data Scientist,Blue Owl,"San Francisco, CA",NOT_FOUND,NOT_FOUND,https://www.indeed.com/rc/clk?jk=544e3faafc2bf1d7&fccid=d978045561911d24&vjs=3,10 hours ago,NOT_FOUND
49,p_811e66d3f84854fc,San+Francisco,data+engineer,Data Engineer,Capital One - US,"San Francisco, CA",NOT_FOUND,NOT_FOUND,https://www.indeed.com/rc/clk?jk=811e66d3f84854fc&fccid=b85c5070c3d3d8c8&vjs=3,11 days ago,NOT_FOUND
40,p_8f78e0c461aec483,San+Francisco,data+engineer,Manufacturing Engineer - Process Development & Data Science,Plenty,"South San Francisco, CA",NOT_FOUND,NOT_FOUND,https://www.indeed.com/rc/clk?jk=8f78e0c461aec483&fccid=d987874f70227b11&vjs=3,13 days ago,NOT_FOUND
25,p_dc251e56f2b4cd8d,San+Francisco,data+engineer,Data Intern,GreatSchools,"Oakland, CA 94612",NOT_FOUND,NOT_FOUND,https://www.indeed.com/rc/clk?jk=dc251e56f2b4cd8d&fccid=0fda5022ae5c085a&vjs=3,13 days ago,NOT_FOUND
47,p_816016c01e80bad6,San+Francisco,data+engineer,Developer Productivity Engineer,Earnest,"San Francisco, CA 94110 (Mission area)",NOT_FOUND,NOT_FOUND,https://www.indeed.com/rc/clk?jk=816016c01e80bad6&fccid=529234c3ed329691&vjs=3,16 hours ago,NOT_FOUND
3,p_1b1d87b3e2e1635b,San+Francisco,data+engineer,Data Engineer,Alluma,"Oakland, CA 94612",NOT_FOUND,NOT_FOUND,https://www.indeed.com/rc/clk?jk=1b1d87b3e2e1635b&fccid=ea68235cbfac4dd5&vjs=3,17 hours ago,NOT_FOUND
45,p_4c3fbbe778f60332,San+Francisco,data+engineer,Data Engineer,2K Games,"Novato, CA",NOT_FOUND,NOT_FOUND,https://www.indeed.com/rc/clk?jk=4c3fbbe778f60332&fccid=824f64d0ff3c8c8f&vjs=3,22 days ago,NOT_FOUND
