,unique_id,city,job_qry,job_title,company_name,location,summary,salary,link,date,full_text
41,p_92f12146415be06f,San+Francisco,data+scientist,Research Data Analyst,University of California San Francisco,"San Francisco, CA",NOT_FOUND,NOT_FOUND,https://www.indeed.com/rc/clk?jk=92f12146415be06f&fccid=2a341562d64c7cdb&vjs=3,1 day ago,NOT_FOUND
1,p_544e3faafc2bf1d7,San+Francisco,data+scientist,Data Scientist,Blue Owl,"San Francisco, CA",NOT_FOUND,NOT_FOUND,https://www.indeed.com/rc/clk?jk=544e3faafc2bf1d7&fccid=d978045561911d24&vjs=3,10 hours ago,NOT_FOUND
17,p_901e0f73935cf2ff,San+Francisco,data+scientist,People Data Scientist,Dropbox,"San Francisco, CA 94102 (Downtown area)",NOT_FOUND,NOT_FOUND,https://www.indeed.com/rc/clk?jk=901e0f73935cf2ff&fccid=8510f9bc3a085f8e&vjs=3,12 days ago,NOT_FOUND
6,p_0650cd2e16fbea25,San+Francisco,data+scientist,Data Scientist,Park Jockey,"San Francisco, CA",NOT_FOUND,NOT_FOUND,https://www.indeed.com/rc/clk?jk=0650cd2e16fbea25&fccid=c395123b3eb53a06&vjs=3,12 days ago,NOT_FOUND
37,p_dc251e56f2b4cd8d,San+Francisco,data+scientist,Data Intern,GreatSchools,"Oakland, CA 94612",NOT_FOUND,NOT_FOUND,https://www.indeed.com/rc/clk?jk=dc251e56f2b4cd8d&fccid=0fda5022ae5c085a&vjs=3,13 days ago,NOT_FOUND
48,p_0ace6d84beef1282,San+Francisco,data+scientist,Clin Lab Scientist Extern,Kaiser Permanente,"San Francisco, CA",NOT_FOUND,NOT_FOUND,https://www.indeed.com/rc/clk?jk=0ace6d84beef1282&fccid=48ecd526e3aa3225&vjs=3,18 hours ago,NOT_FOUND
11,p_8dcad7369ab9dc70,San+Francisco,data+scientist,Junior Data Scientist,BlueVine,"Redwood City, CA",NOT_FOUND,NOT_FOUND,https://www.indeed.com/rc/clk?jk=8dcad7369ab9dc70&fccid=3c2181d40a370308&vjs=3,19 days ago,NOT_FOUND
39,p_5edd3f7955229291,San+Francisco,data+scientist,Data Scientist,BlueVine,"Redwood City, CA",NOT_FOUND,NOT_FOUND,https://www.indeed.com/rc/clk?jk=5edd3f7955229291&fccid=3c2181d40a370308&vjs=3,19 days ago,NOT_FOUND
13,p_e6324bb08b77cd4e,San+Francisco,data+scientist,Data Scientist,Clarivate Analytics,"San Francisco, CA 94111 (Financial District area)",NOT_FOUND,NOT_FOUND,https://www.indeed.com/rc/clk?jk=e6324bb08b77cd4e&fccid=39cdc80b98113925&vjs=3,23 days ago,NOT_FOUND
20,p_22217864173bbc39,San+Francisco,data+scientist,Data Scientist,States Title Holding,"San Francisco, CA",NOT_FOUND,NOT_FOUND,https://www.indeed.com/rc/clk?jk=22217864173bbc39&fccid=eb8b901996a2cc8a&vjs=3,27 days ago,NOT_FOUND
43,p_3e51faf0bd75281b,San+Francisco,data+scientist,Data Scientist (Predictive Services),Opendoor,"San Francisco, CA",NOT_FOUND,NOT_FOUND,https://www.indeed.com/rc/clk?jk=3e51faf0bd75281b&fccid=7af474979a2ce5fb&vjs=3,30+ days ago,NOT_FOUND
40,p_ac5a9f8cac4aada2,San+Francisco,data+scientist,Policy and Advocacy Organizer,University of California San Francisco,"San Francisco, CA",NOT_FOUND,NOT_FOUND,https://www.indeed.com/rc/clk?jk=ac5a9f8cac4aada2&fccid=2a341562d64c7cdb&vjs=3,30+ days ago,NOT_FOUND
