,unique_id,city,job_qry,job_title,company_name,location,summary,salary,link,date,full_text
30,p_a75785b28e82a835,Singapore,data+engineer,Data Engineer,PERX TECHNOLOGIES PTE. LTD.,Singapore,NOT_FOUND,NOT_FOUND,https://www.indeed.com.sg//rc/clk?jk=a75785b28e82a835&fccid=37c8b5dd01c1a869&vjs=3,1 day ago,NOT_FOUND
2,p_c2c905ce85271684,Singapore,data+engineer,REQUIREMENT IMMEDIATELY CIVIL ENGINEER IN SINGAPORE,Click.in,Singapore,NOT_FOUND,NOT_FOUND,https://www.indeed.com.sg//rc/clk?jk=c2c905ce85271684&fccid=dd616958bd9ddc12&vjs=3,1 day ago,NOT_FOUND
34,p_47385f1c167d4c19,Singapore,data+engineer,CIVIL ENGINEER IN SINGAPORE,Click.in,Singapore,NOT_FOUND,NOT_FOUND,https://www.indeed.com.sg//rc/clk?jk=47385f1c167d4c19&fccid=dd616958bd9ddc12&vjs=3,1 day ago,NOT_FOUND
4,p_3c5a5cc198189378,Singapore,data+engineer,ASSISTANT ENGINEER/ENGINEER (FACILITY) (DATA CENTRE) [Job Code 180731C],HR Exchange Pte. Ltd. EA Licence No: 18C9353,Singapore,NOT_FOUND,NOT_FOUND,https://www.indeed.com.sg//rc/clk?jk=3c5a5cc198189378&fccid=13ab5daaff9addab&vjs=3,1 day ago,NOT_FOUND
26,p_63ab5fce4336f827,Singapore,data+engineer,Data ML Engineer,TOOKITAKI HOLDING PTE. LTD.,City Hall,NOT_FOUND,NOT_FOUND,https://www.indeed.com.sg//rc/clk?jk=63ab5fce4336f827&fccid=baa5a085a6dc8988&vjs=3,1 day ago,NOT_FOUND
46,p_d8c0b4bec6be3c82,Singapore,data+engineer,Production Engineer,SMC INDUSTRIAL PTE LTD,Singapore,NOT_FOUND,NOT_FOUND,https://www.indeed.com.sg//rc/clk?jk=d8c0b4bec6be3c82&fccid=4471abefa3a2b29c&vjs=3,1 day ago,NOT_FOUND
7,p_012b8226992b7663,Singapore,data+engineer,Data Sciences & Analytics Engineer (Data Science Track),SINGAPORE AIRLINES LIMITED,Singapore,NOT_FOUND,NOT_FOUND,https://www.indeed.com.sg//rc/clk?jk=012b8226992b7663&fccid=faba3c7fa60c3221&vjs=3,1 day ago,NOT_FOUND
32,p_aa1e4c3d7dd8286b,Singapore,data+engineer,Network Engineer - 1 year contract - Up to $9K,eFinancialCareers SG,Singapore,NOT_FOUND,NOT_FOUND,https://www.indeed.com.sg//rc/clk?jk=aa1e4c3d7dd8286b&fccid=dd616958bd9ddc12&vjs=3,1 day ago,NOT_FOUND
36,p_adfed28062fc7ca0,Singapore,data+engineer,Process Development Scientist/Engineer 1,Merck KGaA,Singapore,NOT_FOUND,NOT_FOUND,https://www.indeed.com.sg//rc/clk?jk=adfed28062fc7ca0&fccid=f89587519f04b5aa&vjs=3,1 day ago,NOT_FOUND
11,p_ee9757b19a4385be,Singapore,data+engineer,ELECTRICAL ENGINEER IMMEDIATELY IN SINGAPORE,Click.in,Singapore,NOT_FOUND,NOT_FOUND,https://www.indeed.com.sg//rc/clk?jk=ee9757b19a4385be&fccid=dd616958bd9ddc12&vjs=3,1 day ago,NOT_FOUND
12,p_017b2f5486b8ffcf,Singapore,data+engineer,Senior Data Engineer,Sciente,Singapore,NOT_FOUND,NOT_FOUND,https://www.indeed.com.sg//rc/clk?jk=017b2f5486b8ffcf&fccid=a176617a4318c18e&vjs=3,1 hour ago,NOT_FOUND
35,p_8138ab559bff90f4,Singapore,data+engineer,Junior Data Analyst,Aspirenxt,Singapore,NOT_FOUND,NOT_FOUND,https://www.indeed.com.sg//rc/clk?jk=8138ab559bff90f4&fccid=7997cbb90ac1b5b2&vjs=3,1 hour ago,NOT_FOUND
47,p_31bdca4eaea3f1d1,Singapore,data+engineer,Data Engineer,OCBC Bank,Singapore,NOT_FOUND,NOT_FOUND,https://www.indeed.com.sg//rc/clk?jk=31bdca4eaea3f1d1&fccid=f23ff5efbfaed863&vjs=3,13 days ago,NOT_FOUND
44,p_195d103ed8b48a08,Singapore,data+engineer,Junior Network Engineer,"A*STAR Agency for Science, Technology and Research",Singapore,NOT_FOUND,NOT_FOUND,https://www.indeed.com.sg//rc/clk?jk=195d103ed8b48a08&fccid=09cc312cf4ba51f6&vjs=3,16 days ago,NOT_FOUND
