,unique_id,city,job_qry,job_title,company_name,location,summary,salary,link,date,full_text
10,p_e3f5e502c98983f8,Singapore,data+scientist,Data Scientist – Machine learning,Biofourmis,Singapore,NOT_FOUND,NOT_FOUND,https://www.indeed.com.sg//rc/clk?jk=e3f5e502c98983f8&fccid=b10fb0856fb9d393&vjs=3,1 day ago,NOT_FOUND
21,p_42e2c517054ecbc7,Singapore,data+scientist,Data Scientist,Yojee,Singapore,NOT_FOUND,NOT_FOUND,https://www.indeed.com.sg//rc/clk?jk=42e2c517054ecbc7&fccid=f226b9a5ec8cec46&vjs=3,1 day ago,NOT_FOUND
23,p_17519ad916b2bd12,Singapore,data+scientist,Data Scientist,Dell Singapore,Singapore,NOT_FOUND,NOT_FOUND,https://www.indeed.com.sg//rc/clk?jk=17519ad916b2bd12&fccid=dd09fe3b43125016&vjs=3,1 day ago,NOT_FOUND
31,p_26697db1340dfda5,Singapore,data+scientist,Data Scientist,ANTASIS PTE. LTD.,Bukit Merah,NOT_FOUND,NOT_FOUND,https://www.indeed.com.sg//rc/clk?jk=26697db1340dfda5&fccid=7d91009a55f42a94&vjs=3,1 day ago,NOT_FOUND
39,p_08640ccc914273be,Singapore,data+scientist,Data Scientist,OBSERVATIONAL AND PRAGMATIC RESEARCH INSTITUTE PTE...,Singapore,NOT_FOUND,NOT_FOUND,https://www.indeed.com.sg//rc/clk?jk=08640ccc914273be&fccid=56af873e7c8cbb58&vjs=3,1 day ago,NOT_FOUND
20,p_a7b8063833e2af75,Singapore,data+scientist,Data Scientist,Jefferson Frank,Singapore,NOT_FOUND,NOT_FOUND,https://www.indeed.com.sg//rc/clk?jk=a7b8063833e2af75&fccid=3e24dd0731ba58b3&vjs=3,1 day ago,NOT_FOUND
19,p_e66c269541f057c6,Singapore,data+scientist,Data Scientist,THE DATA TEAM PTE. LTD.,Raffles,NOT_FOUND,NOT_FOUND,https://www.indeed.com.sg//rc/clk?jk=e66c269541f057c6&fccid=f67358b041e340e3&vjs=3,1 day ago,NOT_FOUND
5,p_3e57e79547413d28,Singapore,data+scientist,"Data Scientist, Fraud",GO-JEK,Singapore,NOT_FOUND,NOT_FOUND,https://www.indeed.com.sg//rc/clk?jk=3e57e79547413d28&fccid=35c79097c1f63f3d&vjs=3,1 day ago,NOT_FOUND
48,p_609d24ff68fce668,Singapore,data+scientist,Data Scientist – Biostatistician,Biofourmis,Singapore,NOT_FOUND,NOT_FOUND,https://www.indeed.com.sg//rc/clk?jk=609d24ff68fce668&fccid=b10fb0856fb9d393&vjs=3,1 day ago,NOT_FOUND
7,p_27ae63439554fe2f,Singapore,data+scientist,Data Scientist,eFinancialCareers SG,Singapore,NOT_FOUND,NOT_FOUND,https://www.indeed.com.sg//rc/clk?jk=27ae63439554fe2f&fccid=dd616958bd9ddc12&vjs=3,10 days ago,NOT_FOUND
43,p_4867b9dfcad882a8,Singapore,data+scientist,Commodities Data Scientist Internship (Iron Ore & Steel),Tivlon Technologies Private Limited,Singapore,NOT_FOUND,NOT_FOUND,https://www.indeed.com.sg//rc/clk?jk=4867b9dfcad882a8&fccid=779925ea75e2bb67&vjs=3,11 days ago,NOT_FOUND
12,p_bb2db5f37df9fb8d,Singapore,data+scientist,Data Scientist (R&D),eFinancialCareers SG,Singapore,NOT_FOUND,NOT_FOUND,https://www.indeed.com.sg//rc/clk?jk=bb2db5f37df9fb8d&fccid=dd616958bd9ddc12&vjs=3,17 days ago,NOT_FOUND
29,p_bbda8fd6db2f8f71,Singapore,data+scientist,Senior Data Scientist,eFinancialCareers SG,Singapore,NOT_FOUND,NOT_FOUND,https://www.indeed.com.sg//rc/clk?jk=bbda8fd6db2f8f71&fccid=dd616958bd9ddc12&vjs=3,17 days ago,NOT_FOUND
1,p_cc8ea0bad5bdd575,Singapore,data+scientist,Junior Data Scientist,eFinancialCareers SG,Singapore,NOT_FOUND,NOT_FOUND,https://www.indeed.com.sg//rc/clk?jk=cc8ea0bad5bdd575&fccid=dd616958bd9ddc12&vjs=3,17 days ago,NOT_FOUND
40,p_22f7d5486804c770,Singapore,data+scientist,Full Stack Data Scientist,GLOBAL FASHION GROUP SGP SERVICES PTE. LTD.,Singapore,NOT_FOUND,NOT_FOUND,https://www.indeed.com.sg//rc/clk?jk=22f7d5486804c770&fccid=50ca1a7a941e6d57&vjs=3,2 days ago,NOT_FOUND
14,p_a55f84db693c52b1,Singapore,data+scientist,Associate Data Scientist,EPS COMPUTER SYSTEMS PTE LTD,Singapore,NOT_FOUND,NOT_FOUND,https://www.indeed.com.sg//rc/clk?jk=a55f84db693c52b1&fccid=3a0666a23d72e8ec&vjs=3,2 days ago,NOT_FOUND
2,p_a87b173a40a5329b,Singapore,data+scientist,DATA SCIENTIST,SHIFT TECHNOLOGY PTE. LTD.,Singapore,NOT_FOUND,NOT_FOUND,https://www.indeed.com.sg//rc/clk?jk=a87b173a40a5329b&fccid=8fed3c2c731465ef&vjs=3,2 days ago,NOT_FOUND
9,p_ce797af117360fba,Singapore,data+scientist,Data Scientist (Singapore),Nanometrics Incorporated,Singapore,NOT_FOUND,NOT_FOUND,https://www.indeed.com.sg//rc/clk?jk=ce797af117360fba&fccid=6eed1f5f8db5b4d1&vjs=3,20 days ago,NOT_FOUND
