,unique_id,city,job_qry,job_title,company_name,location,summary,salary,link,date,full_text
2,p_68fd09c10d2473e2,Singapore,machine+learning+engineer,Machine Learning Engineer,PERX TECHNOLOGIES PTE. LTD.,Singapore,NOT_FOUND,NOT_FOUND,https://www.indeed.com.sg//rc/clk?jk=68fd09c10d2473e2&fccid=37c8b5dd01c1a869&vjs=3,1 day ago,NOT_FOUND
47,p_8f1d29b45fc348db,Singapore,machine+learning+engineer,Research Engineer,NANYANG TECHNOLOGICAL UNIVERSITY,Singapore,NOT_FOUND,NOT_FOUND,https://www.indeed.com.sg//rc/clk?jk=8f1d29b45fc348db&fccid=d869ca30ff8bbcdd&vjs=3,1 day ago,NOT_FOUND
32,p_720d8429ff3093d7,Singapore,machine+learning+engineer,Implementation Engineer,TOOKITAKI HOLDING PTE. LTD.,City Hall,NOT_FOUND,NOT_FOUND,https://www.indeed.com.sg//rc/clk?jk=720d8429ff3093d7&fccid=baa5a085a6dc8988&vjs=3,1 day ago,NOT_FOUND
10,p_e3f5e502c98983f8,Singapore,machine+learning+engineer,Data Scientist – Machine learning,Biofourmis,Singapore,NOT_FOUND,NOT_FOUND,https://www.indeed.com.sg//rc/clk?jk=e3f5e502c98983f8&fccid=b10fb0856fb9d393&vjs=3,1 day ago,NOT_FOUND
38,p_012b8226992b7663,Singapore,machine+learning+engineer,Data Sciences & Analytics Engineer (Data Science Track),SINGAPORE AIRLINES LIMITED,Singapore,NOT_FOUND,NOT_FOUND,https://www.indeed.com.sg//rc/clk?jk=012b8226992b7663&fccid=faba3c7fa60c3221&vjs=3,1 day ago,NOT_FOUND
28,p_cffda37cf78552a2,Singapore,machine+learning+engineer,MACHINE LEARNING ENGINEER,Seek Asia,Singapore,NOT_FOUND,NOT_FOUND,https://www.indeed.com.sg//rc/clk?jk=cffda37cf78552a2&fccid=a45665b430f032e8&vjs=3,13 days ago,NOT_FOUND
21,p_36232902959eb436,Singapore,machine+learning+engineer,Senior Machine Learning Engineer,NextWave Partners,Singapore,NOT_FOUND,NOT_FOUND,https://www.indeed.com.sg//rc/clk?jk=36232902959eb436&fccid=ed1418fbf80dbb3e&vjs=3,15 days ago,NOT_FOUND
9,p_77c8492bf676f7bf,Singapore,machine+learning+engineer,"Software Engineer, Machine Learning, GPay",Google,Singapore,NOT_FOUND,NOT_FOUND,https://www.indeed.com.sg//rc/clk?jk=77c8492bf676f7bf&fccid=a5b4499d9e91a5c6&vjs=3,16 days ago,NOT_FOUND
37,p_f40e10c2b2cf2ffd,Singapore,machine+learning+engineer,Machine Learning Engineer,Grab Taxi,Singapore,NOT_FOUND,NOT_FOUND,https://www.indeed.com.sg//rc/clk?jk=f40e10c2b2cf2ffd&fccid=b79fa3ee18655a5a&vjs=3,17 days ago,NOT_FOUND
24,p_97772e69d5ebef6c,Singapore,machine+learning+engineer,Machine Learning,eFinancialCareers SG,Singapore,NOT_FOUND,NOT_FOUND,https://www.indeed.com.sg//rc/clk?jk=97772e69d5ebef6c&fccid=dd616958bd9ddc12&vjs=3,17 days ago,NOT_FOUND
6,p_969b3c260dc57bda,Singapore,machine+learning+engineer,Machine Learning Engineer (NLP),NextWave Partners,Singapore,NOT_FOUND,NOT_FOUND,https://www.indeed.com.sg//rc/clk?jk=969b3c260dc57bda&fccid=ed1418fbf80dbb3e&vjs=3,2 days ago,NOT_FOUND
8,p_c4f60ffd88660f2f,Singapore,machine+learning+engineer,Machine Learning Engineer,COMTEL SOLUTIONS PTE LTD,Singapore,NOT_FOUND,NOT_FOUND,https://www.indeed.com.sg//rc/clk?jk=c4f60ffd88660f2f&fccid=efb60ad50e873b47&vjs=3,2 days ago,NOT_FOUND
